Date	Hand-in	Comment
130415	Project startup	All groups [Mandatory]
130417	Initial presentation	Class C only [Mandatory]
130424	Initial presentation	Class B only [Mandatory]
130430	Status report 1	All groups [Mandatory]
130501	End-of-sprint demo	Class B only [Mandatory]
130430	End-of-sprint demo	Class C only [Mandatory]
130514	Status report 2	All groups [Mandatory]
130515	End-of-sprint demo	Class B only [Mandatory]
130514	End-of-sprint demo	Class C only [Mandatory]
130528	Status report 3	All groups [Mandatory]
130529	End-of-sprint demo	Class B only [Mandatory]
130528	End-of-sprint demo	Class C only [Mandatory]
130611	Final status report	All groups [Mandatory]
130613	Final presentation	All groups [Mandatory]


