Course	Teacher	ECTS	Weeks	Lessons	Link
Database and programming	PDA	5	34-41,45-51	4	noplan
IT security	MON	2.5	34-41	6	.
Project IT security	MON	2.5	45-51	10	.
Networking	MON	2.5	34-41,45-51	4	.
Project Network	PETH	1.5	34-37	6	noplan
Project Network	PETH	1.5	38-41	4	noplan
Project Network	PDA	1	34-41	4	noplan
Project special subject 2	PDA	5	38-41	2	noplan
Project special subject 2	PDA	5	43-44	28	noplan
Project special subject 2	PDA	5	45-46	2	noplan
Special subject 3	PDA	2.5	45-46	4	noplan
Special subject 3	PDA	2.5	47-51	6	nopla
Business	TOZL	5	34-41,45-51	4	noplan
Study club	-	0	35-41,43-51,2-3	3	exclude

